tp;vme;investimento;demanda;prob;retorno
Construir;46;120;60;200;80
Construir;36;120;60;200;80
Construir;37;120;60;200;80
Construir;38;120;60;200;80
Construir;39;120;60;200;80
Construir;40;120;60;200;80
Construir;41;120;60;200;80
Construir;42;120;60;200;80
Construir;43;120;60;200;80
Construir;44;120;60;200;80
Construir;45;120;60;200;80
Construir;37;120;40;90;-30
Construir;38;120;40;90;-30
Construir;39;120;40;90;-30
Construir;40;120;40;90;-30
Construir;41;120;40;90;-30
Construir;42;120;40;90;-30
Construir;43;120;40;90;-30
Construir;44;120;40;90;-30
Construir;45;120;40;90;-30
Modernizar;46;50;60;120;70
Modernizar;36;50;60;120;70
Modernizar;37;50;60;120;70
Modernizar;38;50;60;120;70
Modernizar;39;50;60;120;70
Modernizar;40;50;60;120;70
Modernizar;41;50;60;120;70
Modernizar;42;50;60;120;70
Modernizar;43;50;60;120;70
Modernizar;44;50;60;120;70
Modernizar;45;50;60;120;70
Modernizar;46;50;40;60;10
Modernizar;45;50;40;60;10
Modernizar;44;50;40;60;10
Modernizar;43;50;40;60;10
Modernizar;42;50;40;60;10
Modernizar;41;50;40;60;10
Modernizar;40;50;40;60;10
Modernizar;36;50;40;60;10
Modernizar;37;50;40;60;10
Modernizar;38;50;40;60;10
Modernizar;39;50;40;60;10
